year,month,station
2000.0,8.0,aberporth
2000.0,9.0,aberporth
2000.0,10.0,aberporth
2000.0,11.0,aberporth
2000.0,12.0,aberporth
2001.0,1.0,aberporth
2001.0,2.0,aberporth
2001.0,3.0,aberporth
2001.0,4.0,aberporth
2001.0,5.0,aberporth
2001.0,6.0,aberporth
2001.0,7.0,aberporth
2001.0,8.0,aberporth
2001.0,9.0,aberporth
2001.0,10.0,aberporth
2001.0,11.0,aberporth
2001.0,12.0,aberporth
2002.0,1.0,aberporth
2002.0,2.0,aberporth
2002.0,3.0,aberporth
2002.0,4.0,aberporth
2002.0,5.0,aberporth
2002.0,6.0,aberporth
2002.0,7.0,aberporth
2002.0,8.0,aberporth
2002.0,9.0,aberporth
2002.0,10.0,aberporth
2002.0,11.0,aberporth
2002.0,12.0,aberporth
2003.0,1.0,aberporth
2003.0,2.0,aberporth
2003.0,3.0,aberporth
2003.0,4.0,aberporth
2003.0,5.0,aberporth
2003.0,6.0,aberporth
2003.0,7.0,aberporth
2003.0,8.0,aberporth
2003.0,9.0,aberporth
2003.0,10.0,aberporth
2003.0,11.0,aberporth
2003.0,12.0,aberporth
2004.0,1.0,aberporth
2004.0,2.0,aberporth
2004.0,3.0,aberporth
2004.0,4.0,aberporth
2004.0,5.0,aberporth
2004.0,6.0,aberporth
2004.0,7.0,aberporth
2004.0,8.0,aberporth
2004.0,9.0,aberporth
2004.0,10.0,aberporth
2004.0,11.0,aberporth
2004.0,12.0,aberporth
2005.0,1.0,aberporth
2005.0,2.0,aberporth
2005.0,3.0,aberporth
2005.0,4.0,aberporth
2005.0,5.0,aberporth
2005.0,6.0,aberporth
2005.0,7.0,aberporth
2005.0,8.0,aberporth
2005.0,9.0,aberporth
2005.0,10.0,aberporth
2005.0,11.0,aberporth
2005.0,12.0,aberporth
2006.0,1.0,aberporth
2006.0,2.0,aberporth
2006.0,3.0,aberporth
2006.0,4.0,aberporth
2006.0,5.0,aberporth
2006.0,6.0,aberporth
2006.0,7.0,aberporth
2006.0,8.0,aberporth
2006.0,9.0,aberporth
2006.0,10.0,aberporth
2006.0,11.0,aberporth
2006.0,12.0,aberporth
2007.0,1.0,aberporth
2007.0,2.0,aberporth
2007.0,3.0,aberporth
2007.0,4.0,aberporth
2007.0,5.0,aberporth
2007.0,6.0,aberporth
2007.0,7.0,aberporth
2007.0,8.0,aberporth
2007.0,9.0,aberporth
2007.0,10.0,aberporth
2007.0,11.0,aberporth
2007.0,12.0,aberporth
2008.0,1.0,aberporth
2008.0,2.0,aberporth
2008.0,3.0,aberporth
2008.0,4.0,aberporth
2008.0,5.0,aberporth
2008.0,6.0,aberporth
2008.0,7.0,aberporth
2008.0,8.0,aberporth
2008.0,9.0,aberporth
2008.0,10.0,aberporth
2008.0,11.0,aberporth
2008.0,12.0,aberporth
2009.0,1.0,aberporth
2009.0,2.0,aberporth
2009.0,3.0,aberporth
2009.0,4.0,aberporth
2009.0,5.0,aberporth
2009.0,6.0,aberporth
2009.0,7.0,aberporth
2009.0,8.0,aberporth
2009.0,9.0,aberporth
2009.0,10.0,aberporth
2009.0,11.0,aberporth
2009.0,12.0,aberporth
2010.0,1.0,aberporth
2010.0,2.0,aberporth
2010.0,3.0,aberporth
2010.0,4.0,aberporth
2010.0,5.0,aberporth
2010.0,6.0,aberporth
2010.0,7.0,aberporth
2010.0,8.0,aberporth
2010.0,9.0,aberporth
2010.0,10.0,aberporth
2010.0,11.0,aberporth
2010.0,12.0,aberporth
2011.0,1.0,aberporth
2011.0,2.0,aberporth
2011.0,3.0,aberporth
2011.0,4.0,aberporth
2011.0,5.0,aberporth
2011.0,6.0,aberporth
2011.0,7.0,aberporth
2011.0,8.0,aberporth
2011.0,9.0,aberporth
2011.0,10.0,aberporth
2011.0,11.0,aberporth
2011.0,12.0,aberporth
2012.0,1.0,aberporth
2012.0,2.0,aberporth
2012.0,3.0,aberporth
2012.0,4.0,aberporth
2012.0,5.0,aberporth
2012.0,6.0,aberporth
2012.0,7.0,aberporth
2012.0,8.0,aberporth
2012.0,9.0,aberporth
2012.0,10.0,aberporth
2012.0,11.0,aberporth
2012.0,12.0,aberporth
2013.0,1.0,aberporth
2013.0,2.0,aberporth
2013.0,3.0,aberporth
2013.0,4.0,aberporth
2013.0,5.0,aberporth
2013.0,6.0,aberporth
2013.0,7.0,aberporth
2013.0,8.0,aberporth
2013.0,9.0,aberporth
2013.0,10.0,aberporth
2013.0,11.0,aberporth
2013.0,12.0,aberporth
2014.0,1.0,aberporth
2014.0,2.0,aberporth
2014.0,3.0,aberporth
2014.0,4.0,aberporth
2014.0,5.0,aberporth
2014.0,6.0,aberporth
2014.0,7.0,aberporth
2014.0,8.0,aberporth
2014.0,9.0,aberporth
2014.0,10.0,aberporth
2014.0,11.0,aberporth
2014.0,12.0,aberporth
2015.0,1.0,aberporth
2015.0,2.0,aberporth
2015.0,3.0,aberporth
2015.0,4.0,aberporth
2015.0,5.0,aberporth
2015.0,6.0,aberporth
2015.0,7.0,aberporth
2015.0,8.0,aberporth
2015.0,9.0,aberporth
2015.0,10.0,aberporth
2015.0,11.0,aberporth
2015.0,12.0,aberporth
2016.0,1.0,aberporth
2016.0,2.0,aberporth
2016.0,3.0,aberporth
2016.0,4.0,aberporth
2016.0,5.0,aberporth
2016.0,6.0,aberporth
2016.0,7.0,aberporth
2016.0,8.0,aberporth
2016.0,9.0,aberporth
2016.0,10.0,aberporth
2016.0,11.0,aberporth
2016.0,12.0,aberporth
2017.0,1.0,aberporth
2017.0,2.0,aberporth
2017.0,3.0,aberporth
2017.0,4.0,aberporth
2017.0,5.0,aberporth
2017.0,6.0,aberporth
2017.0,7.0,aberporth
2017.0,8.0,aberporth
2017.0,9.0,aberporth
2017.0,10.0,aberporth
2017.0,11.0,aberporth
2017.0,12.0,aberporth
2018.0,1.0,aberporth
2018.0,2.0,aberporth
2018.0,3.0,aberporth
2018.0,4.0,aberporth
2018.0,5.0,aberporth
2018.0,6.0,aberporth
2018.0,7.0,aberporth
2018.0,8.0,aberporth
2018.0,9.0,aberporth
2018.0,10.0,aberporth
2018.0,11.0,aberporth
2018.0,12.0,aberporth
2019.0,1.0,aberporth
2019.0,2.0,aberporth
2019.0,3.0,aberporth
2019.0,4.0,aberporth
2019.0,5.0,aberporth
2019.0,6.0,aberporth
2019.0,7.0,aberporth
2019.0,8.0,aberporth
2019.0,9.0,aberporth
2019.0,10.0,aberporth
2019.0,11.0,aberporth
2019.0,12.0,aberporth
2020.0,1.0,aberporth
2020.0,2.0,aberporth
2020.0,3.0,aberporth
2020.0,4.0,aberporth
2020.0,5.0,aberporth
2020.0,6.0,aberporth
1853.0,1.0,armagh
1853.0,2.0,armagh
1853.0,3.0,armagh
1853.0,4.0,armagh
1853.0,5.0,armagh
1853.0,6.0,armagh
1853.0,7.0,armagh
1853.0,8.0,armagh
1853.0,9.0,armagh
1853.0,10.0,armagh
1853.0,11.0,armagh
1853.0,12.0,armagh
1854.0,1.0,armagh
1854.0,2.0,armagh
1854.0,3.0,armagh
1854.0,4.0,armagh
1854.0,5.0,armagh
1854.0,6.0,armagh
1854.0,7.0,armagh
1854.0,8.0,armagh
1854.0,9.0,armagh
1854.0,10.0,armagh
1854.0,11.0,armagh
1854.0,12.0,armagh
1855.0,1.0,armagh
1855.0,2.0,armagh
1855.0,3.0,armagh
1855.0,4.0,armagh
1855.0,5.0,armagh
